date,ticker,tx_type,qty,price,fees,notes
2024-07-08T11:59:26,PLTR,BUY,36.0,27.82,0,ref EV60586902
2024-07-08T12:17:19,SPY,BUY,2.0,554.519,0,ref EV60589313
2024-07-08T12:18:51,NVDA,BUY,8.0,128.61,0,ref EV60589494
2024-07-08T13:15:33,XLK,BUY,4.0,234.2798,0,ref EV60596284
2024-07-09T09:30:09,SCHG,BUY,20.0,104.91,0,ref EV60631796
2024-07-11T09:37:37,PLTR,SELL,36.0,28.2401,0,ref EV60793325
2024-07-11T09:38:00,NVDA,SELL,8.0,134.47,0,ref EV60793466
2024-07-11T09:38:42,XLK,SELL,4.0,237.6109,0,ref EV60793727
2024-07-11T09:42:06,SCHG,SELL,20.0,105.5201,0,ref EV60795457
2024-07-11T09:46:11,SCHD,BUY,28.0,78.2383,0,ref EV60796661
2024-07-11T09:48:11,XLK,BUY,10.0,237.2,0,ref EV60797666
2024-07-11T09:50:47,SPY,BUY,3.0,561.7299,0,ref EV60798383
2024-07-11T09:52:01,XLK,BUY,2.0,236.9798,0,ref EV60798768
2024-07-11T11:08:12,SCHG,BUY,15.0,104.2899,0,ref EV60818479
2024-07-11T11:57:00,SCHG,BUY,5.0,103.6099,0,ref EV60828898
2024-07-16T09:34:56,GME,BUY,54.0,27.9499,0,ref EV61069415
2024-07-16T10:35:15,SCHG,BUY,10.0,104.2199,0,ref EV61088147
2024-07-16T11:42:21,GME,BUY,5.0,27.5598,0,ref EV61099022
2024-07-17T09:33:48,GME,BUY,12.0,28.9999,0,ref EV61156233
2024-07-18T12:47:20,GME,BUY,7.0,26.74,0,ref EV61299909
2024-07-18T12:47:53,GME,BUY,1.0,26.7395,0,ref EV61299978
2024-07-19T14:45:10,SCHD,SELL,28.0,81.0101,0,ref EV61378899
2024-07-19T14:46:53,SPY,BUY,4.0,548.17,0,ref EV61378950
2024-07-19T14:47:44,GME,BUY,2.0,24.9898,0,ref EV61379008
2024-08-05T09:37:00,SPY,BUY,1.0,511.64,0,ref EV62245942
2024-08-05T09:37:11,GME,BUY,19.0,19.3385,0,ref EV62247193
2024-08-05T09:37:35,NVDA,BUY,5.0,95.3795,0,ref EV62248499
2024-08-05T09:37:36,IWM,BUY,10.0,197.209,0,ref EV62248738
2024-08-05T10:07:55,XLK,BUY,3.0,198.8163,0,ref EV62276055
2024-08-09T09:43:40,AVGO,BUY,1.0,146.15,0,ref EV62653130
2024-08-20T10:16:37,AVGO,SELL,1.0,166.16,0,ref EV63166365
2024-08-23T10:15:03,GME,BUY,50.0,22.5199,0,ref EV63371710
2024-08-29T10:29:02,GME,BUY,25.0,21.3099,0,ref EV63675367
2024-09-03T09:53:33,NVDA,BUY,4.0,113.38,0,ref EV63799917
2024-09-05T09:38:39,NVDA,BUY,6.0,108.16,0,ref EV63947460
2024-09-11T10:29:55,GME,BUY,30.0,19.5,0,ref EV64219250
2024-09-19T10:55:27,GME,BUY,4.0,19.8099,0,ref EV64658996
2024-09-25T10:07:52,SCHG,SELL,30.0,104.2001,0,ref EV64925075
2024-09-26T09:40:55,NVDA,BUY,1.0,126.85,0,ref EV64998194
2024-09-26T09:43:16,GME,BUY,6.0,22.389,0,ref EV64998875
2024-09-26T10:57:26,GME,BUY,1.0,21.9085,0,ref EV65019026
2024-09-26T10:57:55,XLK,BUY,1.0,225.25,0,ref EV65019128
2024-09-27T11:11:18,IWM,SELL,5.0,222.15,0,ref EV65095031
2024-09-27T11:12:47,SPY,SELL,5.0,573.4937,0,ref EV65095175
2024-10-01T13:15:26,NVDA,BUY,56.0,116.0,0,ref EV65241329
2024-10-07T10:11:51,IGV,BUY,16.0,89.54,0,ref EV65498933
2024-10-07T10:14:29,GME,BUY,8.0,21.1375,0,ref EV65499577
2024-10-08T09:40:35,IWM,SELL,5.0,216.96,0,ref EV65578860
2024-10-08T12:25:03,GME,BUY,50.0,20.8099,0,ref EV65609652
2024-10-09T09:42:30,SPY,SELL,5.0,573.44,0,ref EV65664213
2024-10-09T11:00:33,XLK,SELL,16.0,229.5,0,ref EV65679679
2024-10-10T09:34:12,GME,BUY,24.0,20.6498,0,ref EV65742777
2024-10-10T09:40:05,GME,BUY,2.0,20.5699,0,ref EV65744908
2024-10-10T09:49:34,HACK,BUY,16.0,70.4983,0,ref EV65747420
2024-10-10T09:56:59,DASH,BUY,8.0,142.9999,0,ref EV65749605
2024-10-10T10:21:58,CCL,BUY,50.0,20.2899,0,ref EV65755661
2024-10-11T09:41:07,SNOW,BUY,10.0,124.4999,0,ref EV65815020
2024-10-14T10:05:32,DASH,SELL,8.0,148.5019,0,ref EV65911354
2024-10-14T10:55:35,HACK,SELL,16.0,71.3601,0,ref EV65925655
2024-10-14T10:56:43,ARKW,BUY,22.0,87.3099,0,ref EV65925883
2024-10-17T09:53:50,NVDA,SELL,36.0,140.76,0,ref EV66161207
2024-10-17T11:44:08,SNOW,BUY,10.0,118.32,0,ref EV66176970
2024-10-17T14:05:15,GME,BUY,50.0,21.54,0,ref EV66192897
2024-10-21T09:53:26,NVDA,SELL,36.0,141.0,0,ref EV66334217
2024-10-21T10:02:19,GME,BUY,124.0,21.02,0,ref EV66339308
2024-10-21T10:16:24,WULF,BUY,980.0,5.8099,0,ref EV66343626
2024-10-21T10:36:32,WULF,BUY,100.0,5.5999,0,ref EV66349230
2024-10-21T11:07:04,ARKW,SELL,22.0,87.2613,0,ref EV66355226
2024-10-21T11:08:12,CCL,SELL,50.0,21.18,0,ref EV66355862
2024-10-21T11:21:19,GME,BUY,6.0,20.8692,0,ref EV66357812
2024-10-21T13:10:35,WULF,SELL,1080.0,6.15,0,ref EV66367421
2024-10-21T15:42:46,OKLO,BUY,220.0,22.55,0,ref EV66387632
2024-10-21T15:54:36,OKLO,SELL,220.0,22.56,0,ref EV66389386
2024-10-22T09:51:10,OKLO,BUY,258.0,19.5,0,ref EV66425912
2024-10-22T10:01:20,SNOW,BUY,10.0,116.65,0,ref EV66428896
2024-10-22T10:09:06,SPY,BUY,6.0,581.75,0,ref EV66430810
2024-10-22T11:20:03,OKLO,SELL,258.0,20.6,0,ref EV66443555
2024-10-22T11:25:26,OKLO,BUY,263.0,20.2,0,ref EV66444837
2024-10-22T12:33:23,OKLO,SELL,263.0,21.2,0,ref EV66452740
2024-10-22T12:36:41,OKLO,BUY,264.0,20.987446,0,ref EV66453129
